Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Production","Viande de Volailles","2022","1000 t","29"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - quantité","Viande de Volailles","2022","1000 t","7"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles","2022","kcal/personne/jour","3.29"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Viande de Volailles","2022","g/personne/jour","0.39"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Viande de Volailles","2022","1000 t","1958"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - quantité","Viande de Volailles","2022","1000 t","304"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - quantité","Viande de Volailles","2022","1000 t","50"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles","2022","kcal/personne/jour","149.24"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Viande de Volailles","2022","g/personne/jour","17.86"
"Bilans Alimentaires (2010-)","Albanie","Production","Viande de Volailles","2022","1000 t","18"
"Bilans Alimentaires (2010-)","Albanie","Importations - quantité","Viande de Volailles","2022","1000 t","47"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles","2022","kcal/personne/jour","85.67"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Viande de Volailles","2022","g/personne/jour","10.27"
"Bilans Alimentaires (2010-)","Algérie","Production","Viande de Volailles","2022","1000 t","275"
"Bilans Alimentaires (2010-)","Algérie","Importations - quantité","Viande de Volailles","2022","1000 t","0"
"Bilans Alimentaires (2010-)","Algérie","Exportations - quantité","Viande de Volailles","2022","1000 t","0"
