Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Données de la sécurité alimentaire","Afghanistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-2.44"
"Données de la sécurité alimentaire","Afghanistan","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-2.55"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","11262.2"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","14322.3"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.23"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.72"
"Données de la sécurité alimentaire","Albanie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","6565.5"
"Données de la sécurité alimentaire","Albanie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","17261"
"Données de la sécurité alimentaire","Albanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.54"
"Données de la sécurité alimentaire","Albanie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.11"
"Données de la sécurité alimentaire","Algérie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","10271.2"
"Données de la sécurité alimentaire","Algérie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","13090.9"
"Données de la sécurité alimentaire","Algérie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-1.43"
"Données de la sécurité alimentaire","Algérie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.74"
"Données de la sécurité alimentaire","Allemagne","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","49797.3"
"Données de la sécurité alimentaire","Allemagne","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","62605.5"
"Données de la sécurité alimentaire","Allemagne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.41"
"Données de la sécurité alimentaire","Allemagne","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.61"
"Données de la sécurité alimentaire","Andorre","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","54467.9"
"Données de la sécurité alimentaire","Andorre","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","63379"
"Données de la sécurité alimentaire","Andorre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.17"
"Données de la sécurité alimentaire","Andorre","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","1.59"
"Données de la sécurité alimentaire","Angola","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","5930.1"
"Données de la sécurité alimentaire","Angola","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","7407.1"
"Données de la sécurité alimentaire","Angola","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-2.04"
"Données de la sécurité alimentaire","Angola","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.65"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","25709.1"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","27757.2"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.71"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.94"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","41258.2"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","51246.4"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.23"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.36"
"Données de la sécurité alimentaire","Argentine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","22373"
"Données de la sécurité alimentaire","Argentine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","27127.4"
"Données de la sécurité alimentaire","Argentine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.1"
"Données de la sécurité alimentaire","Argentine","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.01"
"Données de la sécurité alimentaire","Arménie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","4665.2"
"Données de la sécurité alimentaire","Arménie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","19100.2"
"Données de la sécurité alimentaire","Arménie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","-0.68"
"Données de la sécurité alimentaire","Arménie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","-0.8"
"Données de la sécurité alimentaire","Australie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","44449.9"
"Données de la sécurité alimentaire","Australie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","59120"
"Données de la sécurité alimentaire","Australie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","1.33"
"Données de la sécurité alimentaire","Australie","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2022","","0.93"
"Données de la sécurité alimentaire","Autriche","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2000","Int$/cap","54762.6"
"Données de la sécurité alimentaire","Autriche","Valeur","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","Int$/cap","65836.9"
"Données de la sécurité alimentaire","Autriche","Valeur","Stabilité politique et absence de violence/terrorisme (indice)","2000","","0.82"
